Date Range,Grade,Pollster,Subject,Sponsor,Sample Size,Sample Type,Population,Weight,Leading Result,Leading %,Trailing Result,Trailing %,Spread
May. 29-Jun. 1,,YouGov,Donald Trump,The Economist,1453,,rv,,Disapprove,60%,Approve,39%,21.0
May. 29-Jun. 1,,YouGov,Donald Trump,The Economist,1604,,a,,Disapprove,61%,Approve,35%,26.0
May. 29-Jun. 1,,Focaldata,Donald Trump,Financial Times,1537,,rv,,Disapprove,56%,Approve,38%,18.0
May. 29-Jun. 1,,Focaldata,Donald Trump,Financial Times,1719,,a,,Disapprove,56%,Approve,37%,19.0
May. 1-31,,ActiVote,Donald Trump,,672,,a,,Disapprove,55%,Approve,40%,15.0
May. 29-31,,HarrisX/Harris,Donald Trump,Harvard CAPS,1725,,rv,,Disapprove,53%,Approve,43%,10.0
May. 29-31,,HarrisX/Harris,Congress,Harvard CAPS,1725,,rv,,Disapprove,58%,Approve,31%,27.0
May. 29-31,,Morning Consult,Donald Trump,,2200,,rv,,Disapprove,55%,Approve,43%,12.0
May. 26-28,,TIPP Insights,Donald Trump,Issues & Insights,1589,,a,,Disapprove,54%,Approve,37%,17.0
May. 24-27,,Big Data Poll,Donald Trump,Public Polling Project,2874,,lv,,Disapprove,57%,Approve,41%,16.2
May. 24-27,,Big Data Poll,Donald Trump,Public Polling Project,3176,,rv,,Disapprove,57%,Approve,40%,17.3
May. 20-26,,Marquette University Law School,Donald Trump,,576,,lv,,Disapprove,56%,Approve,44%,12.0
May. 20-26,,Marquette University Law School,Supreme Court,,1001,,a,,Disapprove,54%,Approve,46%,8.0
May. 22-26,,YouGov,Donald Trump,The Economist,1397,,rv,,Disapprove,60%,Approve,38%,22.0
May. 22-26,,YouGov,Donald Trump,The Economist,1520,,a,,Disapprove,59%,Approve,34%,25.0
May. 22-26,,YouGov,Congress,The Economist,1395,,rv,,Disapprove,67%,Approve,17%,50.0
May. 22-26,,YouGov,Congress,The Economist,1517,,a,,Disapprove,62%,Approve,16%,46.0
May. 18-26,,RMG Research,Donald Trump,Napolitan Institute,3000,,rv,,Disapprove,55%,Approve,43%,12.0
May. 18-26,,RMG Research,Donald Trump,Napolitan Institute,3000,,rv,,Disapprove,55%,Approve,43%,12.0
May. 20-26,,Marquette University Law School,Supreme Court,,857,,rv,,Disapprove,51%,Approve,49%,2.0
May. 20-26,,Marquette University Law School,Donald Trump,,857,,rv,,Disapprove,59%,Approve,41%,18.0
May. 20-26,,Marquette University Law School,Donald Trump,,1001,,a,,Disapprove,62%,Approve,38%,24.0
May. 24-25,,Emerson College,Donald Trump,,1000,,lv,,Disapprove,55%,Approve,39%,15.9
May. 22-24,,Morning Consult,Donald Trump,,2204,,rv,,Disapprove,54%,Approve,43%,11.0
May. 21-22,,John Zogby Strategies,Donald Trump,,,,lv,,Disapprove,54%,Approve,44%,10.0
May. 13-21,,RMG Research,Donald Trump,Napolitan Institute,3000,,rv,,Disapprove,57%,Approve,42%,15.0
May. 16-20,,American Research Group,Donald Trump,,1009,,rv,,Disapprove,65%,Approve,31%,34.0
May. 16-20,,American Research Group,Donald Trump,,1100,,a,,Disapprove,64%,Approve,31%,33.0
May. 16-20,,Overton Insights,Donald Trump,,1377,,rv,,Disapprove,58%,Approve,32%,26.0
May. 18-19,,Verasight,Donald Trump,Strength In Numbers,1413,,rv,,Disapprove,59%,Approve,38%,21.0
May. 18-19,,Verasight,Donald Trump,Strength In Numbers,1520,,a,,Disapprove,60%,Approve,37%,23.0
May. 15-18,,Ipsos,Donald Trump,Reuters,984,,rv,,Disapprove,61%,Approve,38%,23.0
May. 15-18,,Ipsos,Donald Trump,Reuters,1271,,a,,Disapprove,63%,Approve,35%,28.0
May. 14-18,,Echelon Insights,Donald Trump,,1008,,lv,,Disapprove,59%,Approve,40%,19.0
May. 15-18,,YouGov,Donald Trump,The Economist,1380,,rv,,Disapprove,57%,Approve,41%,16.0
May. 15-18,,YouGov,Donald Trump,The Economist,1549,,a,,Disapprove,57%,Approve,37%,20.0
May. 15-18,,J.L. Partners,Donald Trump,DailyMail.com,1003,,rv,,Disapprove,52%,Approve,39%,13.0
May. 13-18,,Global Strategy Group,Donald Trump,Navigator Research,1000,,rv,,Disapprove,59%,Approve,39%,20.0
May. 14-18,,AP-NORC,Donald Trump,,1117,,a,,Disapprove,62%,Approve,37%,25.0
May. 14-18,,Quinnipiac University,JD Vance,,1106,,rv,,Disapprove,54%,Approve,39%,15.0
May. 14-18,,Quinnipiac University,Donald Trump,,1106,,rv,,Disapprove,58%,Approve,34%,24.0
May. 14-18,,Quinnipiac University,Supreme Court,,1106,,rv,,Disapprove,57%,Approve,33%,24.0
May. 15-18,,Beacon Research/Shaw & Co. Research,Donald Trump,Fox News,1002,,rv,,Disapprove,61%,Approve,39%,22.0
May. 15-18,,Data for Progress,Donald Trump,,1149,,lv,,Disapprove,56%,Approve,43%,13.0
May. 7-18,,Impact Research/National Research,Donald Trump,The Wall Street Journal,1500,,rv,,Disapprove,57%,Approve,41%,16.0
May. 12-18,,McLaughlin & Associates,Donald Trump,,1000,,lv,,Disapprove,53%,Approve,44%,9.0
May. 15-17,,Morning Consult,Donald Trump,,2203,,rv,,Disapprove,55%,Approve,42%,13.0
May. 13-15,,YouGov,Donald Trump,CBS News,2064,,a,,Disapprove,63%,Approve,37%,26.0
May. 11-15,,The New York Times/Siena College,Donald Trump,,1507,,rv,,Disapprove,59%,Approve,37%,22.0
May. 5-14,,RMG Research,Donald Trump,Napolitan Institute,3000,,rv,,Disapprove,57%,Approve,42%,15.0
May. 8-11,,Ipsos,Donald Trump,Reuters,1254,,a,,Disapprove,63%,Approve,36%,27.0
May. 9-11,,YouGov,Donald Trump,The Economist,1410,,rv,,Disapprove,57%,Approve,41%,16.0
May. 9-11,,YouGov,Donald Trump,The Economist,1549,,a,,Disapprove,58%,Approve,36%,22.0
May. 5-10,,Change Research,Donald Trump,,2244,,rv,,Disapprove,56%,Approve,43%,13.0
May. 4-7,,AtlasIntel,Donald Trump,,2069,,a,,Disapprove,60%,Approve,40%,20.3
Apr. 29-May. 6,,RMG Research,Donald Trump,Napolitan Institute,3000,,rv,,Disapprove,58%,Approve,41%,17.0
May. 4-6,,YouGov,Supreme Court,,1127,,a,,Disapprove,45%,Approve,38%,7.0
Apr. 29-May. 5,,HarrisX,Donald Trump,Forbes,2512,,a,,Disapprove,56%,Approve,41%,15.0
Apr. 29-May. 5,,HarrisX,Donald Trump,Forbes,1891,,lv,,Disapprove,55%,Approve,44%,11.0
